# CATÁLOGO FR.VARELA — lista maestra (nombre | precio | categoría)
# categorías: golosinas, snacks, bebidas, comida, almacen, cigarrillos, promos

## ALMACÉN
Alf Águila | 2800 | golosinas
Águila Barrita 14g | 2000 | golosinas
Alf Pescado Raúl Negro | 2300 | golosinas
Alf Shot x3 | 2600 | golosinas
Oreo 118g | 3300 | golosinas
Mini Oreo | 2500 | golosinas
Nuevas Oreo de Menta | 3900 | golosinas
Alf Oreo Triple | 3200 | golosinas
Postre Oreo | 3500 | golosinas
Postre Chocotorta | 3500 | golosinas
Franui sin Azúcar | 8800 | golosinas
Franui Chocolate con Leche | 8800 | golosinas
Capitán del Espacio | 2800 | golosinas
Llavero Bananita Bebe | 5000 | golosinas
Tic Tac | 2600 | golosinas
Frutas Infieles | 11000 | golosinas
